id,label,tweet
53,1,young pill chamberlain these bitches love my music
54,1,<emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <user> teanna trump probably cleaner than most of these twitter hoes but
55,1,<emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <user> gay niggas could not wait to act like bitches tonight
56,1,<emotion> <emotion> <emotion> <user> and ima steal his cat n replace it with a pitbull <emotion> <emotion> <emotion> <emotion> <user> <user> he a bitch you should do it
57,1,and he gone always be a hoe
58,1,son of a bitch took my tic tacs i like this movie
59,1,all i wanna do is get money and fuck model bitches ! russell simmons
60,1,<user> i probably wouldn ’ t mind school as much if we didn ’ t have to deal with bitch ass teachers retweet
61,1,<user> i am a fucking fag they said
62,1,<user> females think dating a pussy is cute now ? <url> how does doing this stuff make him a pussy ?
63,2,<user> simplyaddictedtoguys <url> woof woof hot scally lad
64,1,<user> have ya ever asked your bitch for other bitches kanye voice yes
65,1,<user> how u gone bring ur side bitch to a game where you know ya gf friends at ? ! <emotion> <emotion> <emotion> <emotion> i swear !
66,2,<user> <url> woof woof and hot soles
67,2,<user> lemmie eat a oreo and do these dishes one oreo ? lol
68,1,<user> <user> <user> bitch fuck u <url> maybe you will get better just <url>
69,1,<user> fuck red malone man bitch ass niggah could you please use complete sentences ?
70,2,<user> why the eggplant emoji doe ? y he say she looked like scream lmao
71,1,<user> hennessey venom gt <emotion> <url> that one sexy bitch
72,1,<user> him seh me pussy wetter then a shower curtain ah me seh wetness lmao !
73,1,<user> eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
74,1,<user> yo fuck skateboarding all you all some wood pushing faggots man ball is life <url> <user>
75,2,<user> baby monkey bathtime <url> awe ! this is so adorable !
76,1,<user> <emotion> <emotion> <emotion> <emotion> i ain t shit damn skippy lol
77,1,<user> u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b <percent> chance
78,1,<user> <user> <url> <number> rings <number> mvps <number> bitches lol
79,1,<user> ppl talk bad about the ghetto hood but as a kid growing up a nigga had fun !
80,1,<user> the facts on tattoos tattoo <url> he a pussy with not tattooing them nipples
81,1,<user> <emotion> <emotion> <emotion> <user> bitches be wanting to act like niggas so bad <emotion> <emotion> <emotion> that shit aint cute but niggas act like bitches
82,1,<user> get worshiping bitch ! <url> woof woof
83,1,<user> wow <user> i am lost are those buttcheek piercings ? <url> yeah she a hoe
84,1,<user> ok sis she d rather be a broke bitch ? shrugs she will have to tell me how it works for her
85,0,<user> <user> <user> queer gaywad
87,1,<user> <user> faggot read my tweets after dat k it wasn t even funny lol
88,1,<user> this bitch was so ungrateful <url> fr lulwhore
89,1,<user> i been kidnapped yo bitch
90,0,<user> <user> alsarabss hes a beaner smh you can tell hes a mexican
91,1,<user> <user> happy birthday nigs thanks yo
92,1,<user> when ur teacher tells u that u have homework <url> this bitch need to go !
93,1,<user> <user> <user> that nigga was eating that hoe lol hell yea lol john paul nigga said john paul <url>
94,1,<user> what would you all lil ugly bald headed bitches do if they stop making make up and weave ?
95,1,<user> leafs better win this damn game so i can go riot and shit early christmas you better start looting my nig
96,1,<user> going back to school sucks more dick than the hoes who attend it
97,1,<user> on my way to fuck yo bitch <url> me as a <number> year old
98,1,<user> <user> how come you never bring me food i dont have a car retard
99,1,<user> if richnow does not show up with hella tinder hoes im not his friend anymore chill i brought like like <number> prople
100,1,<user> how bout them cowboys ! shutup pussy
101,1,<user> lmao this nigga <user> <url> bitch want likes for some depressing shit foh
102,1,<user> <user> girl you know i was spitting that g shit to you and you was going lbvs bitch plz
103,1,<user> let me make a couple tweets off cuzzo page so i will not get in twitter jail lmao bitch do not trick me again
104,1,<user> harlem shake is just an excuse to go full retard for <number> seconds
105,1,<user> amen miley <emotion> <url> but she do not need to act like a hoe just bc she emotionally damaged foh
106,1,<user> having one loyal female is way better than having hoes idc <emotion>
107,1,<user> pussy licking pussy meow meow stop white people 2014 <emotion> <url> <emotion>
108,1,<user> check out our 1 2 th man cowboys nation even with all those faggot ny fans in the stands
109,1,<user> what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
110,1,<user> <user> im the bitch okay nudes pat <emotion> <emotion> <emotion> wow
111,0,<user> <user> you are fucking gay blacklisted hoe holding out for teh god clan anyway <url>
112,1,<user> the fuck be wrong with these bitches ? nobody knows
113,1,<user> yall shut up <emotion> make me bitch
114,1,<user> i hate a i am pregnant type of bitch
115,1,<user> got bitches in the dm but i do not ever read em which is y your top <number>
116,2,<user> baseball season for the win yankees this is where the love started
117,1,<user> little stupid as bitch i do not fuck with you
118,1,<user> she really asked me that dead ass serious tho all i could say was bitch wheet lol
119,2,<user> i am an early bird and i am a night owl so i am wise and have worms
120,2,<user> overdosing on heavy drugs does not sound bad tonight i do that pussy shit every day
121,2,<user> pit bulls photographed as lovely fairy tale creatures <url> they are fairy tale creatures
122,1,<user> <user> aw fag do not tweet aw to me lol
123,2,<user> as long as the lakers trash from now on i could careless and that real cc <user> hahaha
124,1,<user> <user> i did not say anything tho kiss me then faggot
125,2,<user> this the i play soccer cheat on girls and wear khaki coloured cargos haircut <url> <emotion> yup
126,1,<user> i could go for a fat ass bitch on my lap same
127,1,<user> <number> missed calls ! <emotion> <emotion> das yo p o bitch twitter finna be screamn free money melle
128,1,<user> ya side bitch gotta know it rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao <emotion> <emotion> <emotion> <emotion>
129,1,<user> “ <user> <number> amo los pies <url> fuck yeah
130,1,<user> these hoes be thinking meat will not slap they ass <emotion> <emotion> ainna bruh
131,1,<user> yall bitches wit no edges be doing the most talking <emotion> <emotion> <emotion> <emotion> <emotion> <emotion>
132,1,<user> yall still going trick or treating this year or nah ? hell yeah ima be da sweet tooth bandit steal bitches bags n shit
133,1,<user> i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
134,1,<user> if she kiss u with her eyes open watch that bitch ! lmfao
135,1,<user> you a woulda coulda shoulda ass hoe <emotion> <emotion>
136,1,<user> happy bday bitch ass nigga <user> preciate that bitch roll up !
137,1,<user> <user> <user> used to send that bitch up
138,1,<user> ugly bitches be like i am my own wcw duh bitch you ain t nobody elses <emotion> <emotion>
139,1,<user> <user> nigga you know we hacky sack hoes nah i throw no look passes lmao
141,1,<user> glad i am getting outta atlanta nothing but a bunch of niggas in and outta jail and dumb bitches with mad kids fuckin em
142,2,<user> this is not ghetto it smart <url> i am doing this idc
143,1,<user> i would wife a hoe only cuz we would not care that we cheating in each other why force the relationship in the first place ?
144,1,<user> being single is not an excuse to be a hoe <user>
145,1,<user> white boy power bitch black power bitch
146,1,<user> lets get drunk get blowed spit shit spark blunts and fuck hoes ! bro white dudes have no chill
147,1,<user> <user> bitch where u been around the world and back where you been ?
148,1,<user> <user> if i do not get my dick sucked at yo party by a bad bitch i am fr gone set it off <emotion> <emotion> <emotion> <emotion> by <user>
149,1,<user> oomf is so cute but he probably has hoes on him a lot
150,1,<user> in every cartoon theirs alway a <user> saving these hoes lmao <url> lmao damn captain saveahoe
151,2,<user> who wants to get there nose in these bad bois then scally chav sock fetish stinking <url> hot sox and legs
152,1,<user> i wish i was a bitch like my brother keezy <emotion> ow i bet you do
153,1,<user> if you dressed up as a cat for halloween you are basic or a pussy
154,1,<user> can pornhub just get a gaming stream feature so these dumb bitches can gtfo <user> get on it katie <number>
155,1,<user> stop being scared to choke her during sex u bitch ass niggas she ’ ll like it says the guy who hits women out of bed foh
156,1,<user> <user> ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
157,1,<user> <user> oh man its <number> am you off a molly ho where the fuck ya seed at ? fixed
158,1,<user> you are not a man if you refer to every girl as a bitch
159,1,<user> lmfao this cat started beating the shit out of me my nigga finally got some pussy ? ! my nigga !
160,2,<user> peel up peel up bring it back up rewind back where i am from they move shaq from the line ow who tf said that trash ? !
161,1,<user> <user> io io alu record ho vine sai pe hahahaha lol anyways haha
162,1,<user> <user> naw it my old tape new cover my upcoming mixtape is king of the hill yeah i am waiting on that hoe mayne !
163,1,<user> ol dirty foot ass bitches this was too funny to me
164,1,<user> <user> that where i get my yellow flags for being amazing <emotion> <emotion> hell yeah niggy
165,1,<user> do not got time for bitches to be actin iffy
166,2,<user> ucfpinkparty come on stay alive knights nation ! this is still the early bird special come at me ut
167,1,<user> these hoes ain t loyal no they ain t <url> smfh and wonder why nobody decent wants them
168,1,<user> bruh you studs keep thinking i am soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe !
169,1,<user> dry pussy bitches always blame it on the condom <emotion> <emotion> <emotion> <emotion> <emotion>
170,1,<user> shut yo bitch ass up ! <url> <emotion> <emotion>
171,1,<user> gucci mane in jail and dropping mixtapes every month and you hoes can not even text back
172,1,<user> you love these hoes more then money wats wrong these niggas
173,1,<user> a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
174,1,<user> easy cum easy hoe that a fact !
175,1,<user> charlie sheen is too real <url> major fucking respect for charlie sheen
176,1,<user> wish i had a bae <emotion> you got all the hoes tho
177,1,<user> fuck twerking bitch can you cook ?
178,1,<user> <user> bitch wtf <url>
179,1,<user> “ <user> <user> shut up zoe fight me pussy ” for zoe ? i am good man you are good ma am move along now
180,1,<user> lmao fucking snake bitches em
181,1,<user> big booty hoes everywhere sheesh <emotion> damn <emotion> <emotion> <emotion>
182,2,<user> stay tuned to <user> for an update on the report that <user> 1 b <user> will be out <number> <number> weeks <user> bum
183,2,<user> “ <user> i play soccer cheat on girls and wear khaki coloured cargos haircut <url> yes lmfao <user>
184,1,<user> oregon chokes every year get off the field trash ass program rft
185,1,<user> def not cowboy lol <user> terrell owens was the best eagle and cowboy ever dude cried like a bitch on tv over romo
186,0,<user> lmfao i hate black people <url> this is why there black people and niggers
187,1,<user> <user> <user> how could u do this to me bitch potent
188,2,<user> <url> a pissed lad past out i would lick his dirty soles while he slept
189,2,<user> <url> love frat boy w soft long soles
190,2,<user> <url> sexy lad with hot soles and arches
191,1,<user> <user> nah fam i gotta cheat with the hoes depends on the female i feel
192,2,<user> <user> <emotion> <emotion> <emotion> <emotion> <emotion> i got hicks lol
193,1,<user> this new twitter is confusing the shit out of me go back to south america bitch
194,1,<user> toto means ass or vagina ? i think pussy cause toto santi is like nasty pussy
195,1,<user> but what if he actually does choose the ugly bitch over you ?  her ass must be fat !
196,1,<user> bitch could not kill my vibe if ya tried <emotion> <emotion> <emotion> dis why i love miley <emotion>
197,1,<user> i am tired of bitches saying i look mean <emotion> nigga you big af wear tight shirts and grim everybody
198,2,<user> <number> birds your grandkids may never see thanks to climate change <url> <url> climate
199,1,<user> stay beautiful you bitch
200,1,<user> wut kinda r purple cele man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls
201,1,<user> money getting taller and bitches getting blurry
202,1,<user> i ain t never seen a bitch so obsessed with they nigga <emotion> i am obsessed with mine <emotion>
203,1,<user> kobe stay talking trash but let us not forget <url> <user> i meant to do this one smh
204,0,<user> at least i am not a nigger <url> lmfao
205,1,<user> people always asking me what i am mixed with she a bad asian bitch lol
206,0,<user> <user> ariza is a snake and a coward but at least he is not a cripple like your hero roach lmaoo
207,2,<user> “ <user> fosters home for imaginary trash ” whoa chill that show was everything tf
208,1,<user> i am lowkey tired if you tired be quiet and go to sleep hoe !
209,1,<user> “ <user> stop bringing weird niggers into my mentions ! <user> ” <url>
210,1,<user> we do not love these hoes <emotion> <emotion>
211,1,<user> if yo girl cant have homeboys you a ol weak bitch ass nigga !
212,1,<user> <user> i think worst advice i gave you was do not be a pussy and speed up lol
213,1,<user> quote this tweet with your favorite animal pussy
214,1,<user> i hate when strippers tell you they are dancers hoe ballet dancers do not pop their pussy to beethoven you a stripper !
215,1,<user> andrewbryant poff has double vision after <number> beers poff double pussy <emotion> smh
216,1,<user> when bitches twerk on the computer me in ya <emotion> in ya damn <emotion> <emotion>
217,1,<user> “ <user> “ <user> <user> prince this is art <url> nobody takin his bitch !
218,2,<user> <percent> of welfare government aid is claimed by white people so you all black slander is trash now
219,1,<user> these bitches do not care they just play that role
220,1,<user> it took a while for you to find me but i was hiding in the lime tree <user> dis bitch in da wrong tree bro
221,0,<user> drakes new shoes that will be released by nike jordan yes there glitter on the shoes <url> dudes a fag
222,2,<user> <user> inna di ghetto ! you alone lmaoo
223,2,<user> “ <user> <user> <user> hoes austin ” teach us austin i teach u how to get curved ? that all i know
224,1,<user> bitches can not cook but know how to suck dick o to the ones that can do both !
225,1,<user> fat hoes get chose lol
226,1,<user> hoes aint loyal well they are hoes no one expects them to be loyal
227,1,<user> <user> <user> ol bitch ass <url>
228,1,<user> bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmao
229,1,<user> just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
230,1,<user> holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing
231,1,<user> i do not want to have sex with my gf because i feel like i am using her anonymous whata faggot
232,1,<user> one of your followers with this <emotion> <emotion> <url> somebody bitch if you do not
233,1,<user> if ya bitch always bitching clearly she care ! or just an annoying bitch !
234,1,<user> these catfish hoes thinkin they slick but niggas catching on <emotion>
235,1,<user> can not worry about a bitch that ain t worried bout me real
236,1,<user> side hoes are for insecure niggas that can not handle a real one
237,1,<user> <emotion> <emotion> <emotion> <emotion> <user> lmao ! this bitch come scooting in the tent like she about to fuck some shit up ! <emotion> <emotion> <emotion>
238,1,<user> my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers <emotion>
239,1,<user> i am hungry but ionn wanna spend my money on food <emotion> broke hoe problems <emotion> <emotion> <emotion> <emotion>
240,1,<user> dese hoes be lyin to all of us nigga
241,1,<user> <url> oh yeah fuck that bitch
242,2,<user> eli manning just threw his nfl leading 2 7 th interception of the season lmao trash
243,2,<user> usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team » <url> he a bitch
244,1,<user> guess what ? i also have zero time for your mansplaining ! adios ! stfu pussy
245,2,<user> chilling <emotion> <emotion> <url> sexy scally lad
246,1,<user> i ain t sharing no bitch if you mines you mines <emotion>
247,1,<user> money only impress the simple broke bitches
248,1,<user> pisces will never be anybody bitch they do not let people control or change them right
250,2,<user> <user> <user> tuku ho idk blah blah blah <emotion> <emotion> <emotion>
251,2,<user> <user> <user> i am not mad cuh hahaha suure tuku ho ita ! <emotion> <emotion>
252,1,<user> these hoes is crazy
253,1,<user> you ain t ever gonna be a slice bitch kevin hart <emotion>
254,1,<user> oomf so fuckin fine tho <emotion> dam her do not be no bitch
255,1,<user> i wonder if the girl that gave head to <number> boys for a drink in magaluf has twitter she probly sends nudes for fags
256,1,<user> new sat questions yeah bitch yeah bitch call me _______ a maybe b steve o c later d jesse pinkman <user>
257,1,<user> hickies in between her thighs right by her pussy its only right
258,1,<user> would you still love me when i am no longer young and beautiful ? no ugly monkey ass
259,1,<user> <user> <user> you all come through the front bitch i ain t coming
260,1,<user> <user> faggot bitch <url>
261,1,<user> <user> yea i am on my ipad i do not work this friday let us ball this faggot up <user> i work <number> <number>
262,2,<user> <url> this scally lad would get it
263,0,<user> gerrys halloween party <url> halloween was yesterday stupid nigger
264,1,<user> chrus still supahot tho walks up to teacher with test drops test in that bitch fohead <url>
265,1,<user> “ <user> i love eating pussy lol i never get full lol ” i can eat that shit forever lol and ever
266,1,<user> “ <user> <user> “ <user> no slushes <emotion> ” hoes nasty anyway fam <emotion> ” them hoes taste like meds <emotion> <emotion> <emotion>
267,1,<user> “ <user> no slushes <emotion> ” hoes nasty anyway fam <emotion>
268,1,<user> bobby bitch by <user> be getting me live as fuck hell yea i play that hoe before my workout
269,1,<user> yo bitch is gucci mane <user> my bitch a stoner <emotion> <emotion> <url>
270,1,<user> i can ride your bitch with no handle bars
271,1,<user> and if you ain t a hoe get up out my traphouse
272,2,<user> <number> sad tv character deaths we are still bitter over <url> <url> stark was the man
273,1,<user> these harbor bitches are all party bus hoes lol all ?
274,1,<user> <user> pussy love it
275,1,<user> ultraviolence video its coming you little bitch ! mtv hottest lana del rey <url> bitchy promo
276,1,<user> on my way to fuck your bitch <url> lmfao kittycopter
277,2,<user> a smuggler explains how he helped fighters along the jihadi highway <url>
278,1,<user> <user> aww their avis look so cute together <emotion> <url> <emotion> <emotion> <emotion> do i gotta get ike avi on this bitch ?
279,1,<user> <user> its simple dont be a hoe dont worry about being exposed <emotion> fight me why ?
280,1,<user> whys this bitch boosting herself <url> her size is not exactly the most healthy tho
281,1,<user> <user> bet not be no bitches ! <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> <emotion> kim bye !
283,1,<user> damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
284,1,<user> i am making marack my girlfriend <user> aye b you pullin hoes just like o taught you
285,1,<user> bruno fag boy you love me
286,1,<user> “ <user> i must be a bitch ” you are <emotion> <emotion> <emotion> sike naw this why we always beefing <emotion>
287,2,<user> down <number> <number> yankees look to rally in the bottom of the 9 th rallycap
288,1,<user> “ <user> do not take advantage of a nice person ” hoes everyjuan
289,1,<user> happy birthday bitch nigga <user> thanks pal
290,1,<user> sad knowing that most hoes will not fuck with you bc you ain t got stacks wait till friday
291,1,<user> <user> cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
292,1,<user> <user> ew i said that last sunday as in the last sunday i was there read it again nigs <emotion> <emotion> <emotion> <emotion> <emotion>
293,1,<user> i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
294,1,<user> my pussy still fresh something stank girls say
295,1,<user> ass slapping is one the greatest things haha <emotion> i slapped a girl on the ass she got mad i aint get pussy for a week
296,1,<user> <user> <user> yeah texans are so much better you fucking retard i see that you are mad about this
297,1,<user> nd wtf is up with dark bitches with blonde please have several seats hoe ! looking like black and milds out here
298,1,<user> there a lane some bitches need to stay in <emotion> the left n get right the fuck outta our face <emotion> <emotion> <emotion>
299,1,<user> i hate when boys deny that they have bitches <emotion> <emotion> smh
300,1,<user> ya nigs out there still saying you all do not eat butt ? ! with a straight face !
301,1,<user> im a boss ass bitch that needs to sit in a corner
302,1,<user> he a hoe i can not
304,1,<user> me and paul thinkin bout gettin rentals for da weekend <emotion> <emotion> <emotion> oh shit bitches betta stay out da streets
305,1,<user> bitches hold they nigga down when he get locked up but if a nigga go to college or the military it a different story <emotion>
306,1,<user> why do my friends hate me because you a ratchet hoe
307,1,<user> no love for these fuck niggas hoes
308,1,<user> hot meat <url> sexy as fuck scally lad i would love to meet him and his trainers
309,1,<user> sniff <url> perved up scally lad fuck yeah
310,1,<user> these bitches love sosa
311,1,<user> “ <user> i legit watched it for about <number> or <number> seconds <emotion> ” so did i wtf prob cause were retarded smh
312,1,<user> what should i name my cat ideas ? mr pussy
313,1,<user> <url> woof woof sexy thug boy scally
314,1,<user> <user> u see the damn phone ringing ? <emotion> <emotion> <emotion> when you married bitches makes demands ! you have not called me
315,1,<user> tevin is my favorite sophomore i think he so funny hes really not lmaoo hes a little hoe
316,1,<user> <number> sex positions <url> <url> this what u call fucking the soul outta bitch <emotion>
317,0,<user> <user> is bored supposed to be cute you faggot ? sometimes
318,2,<user> one mans trash <emotion> is another mans treasure <emotion>
319,1,<user> i do not got no type bad bitches is the only thing i like iongotnotype
320,0,<user> <user> lassen cc the coach wants me i feel it youll get more my nig no doubt
321,1,<user> god teeth gold chain white bitches cocaine
322,1,<user> its me hoe its me hoe <emotion> sh
323,1,<user> in d.c. we call them rollers in chiraq we call them thots all across america they have been known as a hoe
324,1,<user> i am gonna miss that bitch of a bus driver no you will not do not lie
325,1,<user> hate when bitches try and put you in the friendzone bitch i am tryin to score put me in the endzone <emotion> <emotion> <emotion> on my soul !
326,2,<user> ashley young has tried to deny that bird s* landed in his mouth <url> <url> hahaha
327,1,<user> <user> yall both gimped up ? ain t tht a bitch huh lol
328,2,<user> <user> take me for a ride <emotion> <emotion> <url> woof woof
329,1,<user> oh my god i love victoria mitchell all my bitches love me
330,1,<user> that long distance shit wack i knew the bitch was cheating uh oh
331,1,<user> he doing it right <emotion> <emotion> <emotion> <url> no bitches smh
332,1,<user> they ban dat pussy for life and he gotta pay <number> millon dollar fine
333,1,<user> roses are red and violets are blue and niggers are black you know that true <user>
334,2,<user> sitting on my window sill window open bird tries to fly in smacked it protect the animals <user>
335,1,<user> but a nigga gon be a nigga be a nigga you sound fuckin retarded
336,2,<user> a video an entire media will likely mock <url> i am such a crybaby
337,1,<user> <user> <user> i am not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup
338,1,<user> tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh <emotion> <emotion> <emotion> <emotion>
339,1,<user> karma is a bitch damn god protects his angels <emotion> sips tea
340,1,<user> fuckin hot gym pussy <url> fuck yeah
341,2,<user> jihadi patron hajjaj al ajmi is arrested at kuwait airport <url>
342,1,<user> you can call me fireman cause i turn the hoes on
343,1,<user> i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god
344,1,<user> watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
345,1,<user> and smoke weed in public fuck cops man do what you wanna do they do not own you run if they come are you retarded ?
346,2,<user> tweety bird tho <emotion> <emotion> <emotion> <emotion> <url>
347,1,<user> my pussy sweet like watermelon <url> thotermelon
348,2,<user> when twitter rappers dm me their trash links <url>
349,1,<user> loud bitches annoy me
350,1,<user> eventually every bitch turns into that hoe tru
351,1,<user> <user> <user> i swear if oomf try talking to me tomorrow <user> pussy
352,1,<user> you bitches be pretending to be tf crazy you ain t never lied
353,1,<user> <user> k bye hoe um bye
354,0,<user> jackies a retard blonde problems at least i can make a grilled cheese !
355,1,<user> ima keep on giving these pussy ass niggas ah reason to hate !
356,2,<user> photo <url> he is in sole heaven
357,0,<user> stacey dash won <emotion> <url> baddest bitch eva
358,1,<user> side bitch sunday <emotion> <emotion> <emotion> <emotion> <emotion> <emotion>
359,1,<user> facts what baldheaded bitch made this shit <emotion> <emotion> <emotion> <emotion> <url> lmao <emotion> <emotion>
360,1,<user> fuck wit us and then we tweakin hoe shmurda !
361,2,<user> we actin like it the 7 th day <user> <url> <emotion> spook
362,1,<user> i will break that lil bitch neck and will not even feel sorry about it savage
363,1,<user> this is so fucking hot ! scally sneaker sex sock fetish sniff trainer sex <url> love me some kinky scallies
364,1,<user> you all dumb ass niggas be so pressed to have hoes you all weak as fuck as fuck weed over hoes oreos too
365,1,<user> i can turn yo bitch into a eater
366,1,<user> i do not trust dese hoes nikki told 5 1 st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn
367,1,<user> “ <user> aye yall ima tryout for the bowling team frfr ” tryouts passed tho no theres two more retard
368,1,<user> now u got what u want bitch ! enjoy it <url> now this is a crazy party i would love to attend
369,2,<user> colored contacts in your eyes ? blinders on mine cause i can not see you at all lmao
370,1,<user> facts <user> only the dudes with hoes say they do not got hoes ” <user>
371,1,<user> i am rea start smacking bitches period ! bluffin at its best
372,1,<user> lifes a bitch and then you die thats why we get high cause you neva know when you are gonna go my sister is perfect <emotion>
373,1,<user> one of us is on drugs and its me but you are still wrong <emotion> <user> hahahahahahah im a bitch sometimes <emotion>
374,1,<user> i am feeling pretty fuckin ghetto smh
375,2,<user> <user> <user> <user> <user> swears i am <number> man easily easily behind austin nip ?
376,1,<user> this is a true ride or die bitch <emotion> <url> what the fuck hahahahah
377,2,<user> h.g. wells and charlie chaplin <url> history photography
378,1,<user> all i see is bruno bitch ass on my twitter now wtf bruno all that she sees drake voice
379,1,<user> <user> i am about to cool faggot chill tf is cool nigga
380,1,<user> <user> i am so sure bitch frfr tf
381,1,<user> twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet
382,1,<user> got a couple bitches saying they know me but i ’ ma let the money talk for me <emotion> <emotion> and i m like wwyd
383,1,<user> grudges are for weirdos and bitches
384,2,<user> i told mariam to but cigarettes for her birthday you also called me trash rn
385,2,<user> <user> brownies tonight what kind ? !
386,1,<user> no text back ? i do not give a fuck i will text another bitch damn someone is hurt lol
387,1,<user> um okay <url> you got hoes from left to right <emotion> <emotion> do yah thang !
388,1,<user> using y mx b to find the slope of that ass
389,2,<user> fit lads ! nice gear ! <url> these scally lads n trainers would get it
390,1,<user> hell yeah bro ! <url> fuck yeah sexy scally lad in hot gear
391,1,<user> helping out a mate ! <url> i love scally play fuck yeah
392,1,<user> lads being lads ! <url> fuck yeah i love scally lad action hot trainers too
393,1,<user> next year bitches is gonna be like you gotta promise you will not expose me <emotion> <emotion> <emotion>
394,1,<user> “ <user> so hot ! <user> lick it bitch <url> fuck yeah eat that trainer u dirty fucker
395,1,<user> “ <user> you all think celebrity pussy different from the locals ? <emotion> ” yeah meghan goods is
396,2,<user> i saw an ajumma walk out in the beginning saying wow this is so trash that i can not even listen to it <emotion> lmaoo
397,1,<user> need these sox <url> fuck yeah i love a kinky scally lad w rank sox and sneaks
398,1,<user> i do not ever expose females like that that childish bitch nigga shi
399,1,<user> <user> <user> yas trys new things with bestfriend bitch who do you love
400,2,<user> dude remember this wop video ? <user> <url> omg where did you find that
